obs,icd10,icd10_label,valid_fy,valid_fy,mce_age_condition,mce_sex_condition,mce_age_condition,mce_sex_condition,mce_age_condition,mce_sex_condition,cc_age_split,cc_sex_split,cc,second_cc,third_cc,footnote
4312,K7150,Toxic liver disease with chronic active hepatitis without ascites,Y,Y,,,,,,,,,37.2,,,
4313,K7151,Toxic liver disease with chronic active hepatitis with ascites,Y,Y,,,,,,,,,37.2,,,
4314,K717,Toxic liver disease with fibrosis and cirrhosis of liver,Y,Y,,,,,,,,,36.0,,,
4315,K7200,Acute and subacute hepatic failure without coma,Y,Y,,,,,,,,,35.1,,,
4316,K7201,Acute and subacute hepatic failure with coma,Y,Y,,,,,,,,,35.1,,,
4317,K7210,Chronic hepatic failure without coma,Y,Y,,,,,,,,,35.2,,,
4318,K7211,Chronic hepatic failure with coma,Y,Y,,,,,,,,,35.2,,,
4319,K7290,"Hepatic failure, unspecified without coma",Y,Y,,,,,,,,,35.2,,,
4320,K7291,"Hepatic failure, unspecified with coma",Y,Y,,,,,,,,,35.2,,,
4321,K730,"Chronic persistent hepatitis, not elsewhere classified",Y,Y,,,,,,,,,37.2,,,
4322,K731,"Chronic lobular hepatitis, not elsewhere classified",Y,Y,,,,,,,,,37.2,,,
4323,K732,"Chronic active hepatitis, not elsewhere classified",Y,Y,,,,,,,,,37.2,,,
4324,K738,"Other chronic hepatitis, not elsewhere classified",Y,Y,,,,,,,,,37.2,,,
4325,K739,"Chronic hepatitis, unspecified",Y,Y,,,,,,,,,37.2,,,
4326,K743,Primary biliary cirrhosis,Y,Y,,,,,,,,,36.0,,,
4327,K744,Secondary biliary cirrhosis,Y,Y,,,,,,,,,36.0,,,
4328,K745,"Biliary cirrhosis, unspecified",Y,Y,,,,,,,,,36.0,,,
4329,K7460,Unspecified cirrhosis of liver,Y,Y,,,,,,,,,36.0,,,
4330,K7469,Other cirrhosis of liver,Y,Y,,,,,,,,,36.0,,,
4331,K750,Abscess of liver,Y,Y,,,,,,,,,35.1,,,
4332,K751,Phlebitis of portal vein,Y,Y,,,,,,,,,35.1,,,
4333,K754,Autoimmune hepatitis,Y,Y,,,,,,,,,37.2,,,
4334,K762,Central hemorrhagic necrosis of liver,Y,Y,,,,,,,,,35.1,,,
4335,K763,Infarction of liver,Y,Y,,,,,,,,,35.1,,,
4336,K766,Portal hypertension,Y,Y,,,,,,,,,35.2,,,
4337,K767,Hepatorenal syndrome,Y,Y,,,,,,,,,35.2,,,
4338,K7681,Hepatopulmonary syndrome,Y,Y,,,,,,,,,35.2,,,
4339,K7682,Hepatic encephalopathy,Y,Y,,,,,,,,,35.2,,,
4340,K8500,Idiopathic acute pancreatitis without necrosis or infection,Y,Y,,,,,,,,,47.0,,,
4341,K8501,Idiopathic acute pancreatitis with uninfected necrosis,Y,Y,,,,,,,,,47.0,,,
4342,K8502,Idiopathic acute pancreatitis with infected necrosis,Y,Y,,,,,,,,,47.0,,,
4343,K8510,Biliary acute pancreatitis without necrosis or infection,Y,Y,,,,,,,,,47.0,,,
4344,K8511,Biliary acute pancreatitis with uninfected necrosis,Y,Y,,,,,,,,,47.0,,,
4345,K8512,Biliary acute pancreatitis with infected necrosis,Y,Y,,,,,,,,,47.0,,,
4346,K8520,Alcohol induced acute pancreatitis without necrosis or infection,Y,Y,,,,,,,,,47.0,,,
4347,K8521,Alcohol induced acute pancreatitis with uninfected necrosis,Y,Y,,,,,,,,,47.0,,,
4348,K8522,Alcohol induced acute pancreatitis with infected necrosis,Y,Y,,,,,,,,,47.0,,,
4349,K8530,Drug induced acute pancreatitis without necrosis or infection,Y,Y,,,,,,,,,47.0,,,
4350,K8531,Drug induced acute pancreatitis with uninfected necrosis,Y,Y,,,,,,,,,47.0,,,
4351,K8532,Drug induced acute pancreatitis with infected necrosis,Y,Y,,,,,,,,,47.0,,,
4352,K8580,Other acute pancreatitis without necrosis or infection,Y,Y,,,,,,,,,47.0,,,
4353,K8581,Other acute pancreatitis with uninfected necrosis,Y,Y,,,,,,,,,47.0,,,
4354,K8582,Other acute pancreatitis with infected necrosis,Y,Y,,,,,,,,,47.0,,,
4355,K8590,"Acute pancreatitis without necrosis or infection, unspecified",Y,Y,,,,,,,,,47.0,,,
4356,K8591,"Acute pancreatitis with uninfected necrosis, unspecified",Y,Y,,,,,,,,,47.0,,,
4357,K8592,"Acute pancreatitis with infected necrosis, unspecified",Y,Y,,,,,,,,,47.0,,,
4358,K860,Alcohol-induced chronic pancreatitis,Y,Y,,,,,,,,,46.0,,,
4359,K861,Other chronic pancreatitis,Y,Y,,,,,,,,,46.0,,,
4360,K91850,Pouchitis,Y,Y,,,,,,,,,253.0,,,
4361,K91858,Other complications of intestinal pouch,Y,Y,,,,,,,,,253.0,,,
4362,K9400,"Colostomy complication, unspecified",Y,Y,,,,,,,,,253.0,,,
4363,K9401,Colostomy hemorrhage,Y,Y,,,,,,,,,253.0,,,
4364,K9402,Colostomy infection,Y,Y,,,,,,,,,253.0,,,
4365,K9403,Colostomy malfunction,Y,Y,,,,,,,,,253.0,,,
4366,K9409,Other complications of colostomy,Y,Y,,,,,,,,,253.0,,,
4367,K9410,"Enterostomy complication, unspecified",Y,Y,,,,,,,,,253.0,,,
4368,K9411,Enterostomy hemorrhage,Y,Y,,,,,,,,,253.0,,,
4369,K9412,Enterostomy infection,Y,Y,,,,,,,,,253.0,,,
4370,K9413,Enterostomy malfunction,Y,Y,,,,,,,,,253.0,,,
4371,K9419,Other complications of enterostomy,Y,Y,,,,,,,,,253.0,,,
4372,K9420,"Gastrostomy complication, unspecified",Y,Y,,,,,,,,,253.0,,,
4373,K9421,Gastrostomy hemorrhage,Y,Y,,,,,,,,,253.0,,,
4374,K9422,Gastrostomy infection,Y,Y,,,,,,,,,253.0,,,
4375,K9423,Gastrostomy malfunction,Y,Y,,,,,,,,,253.0,,,
4376,K9429,Other complications of gastrostomy,Y,Y,,,,,,,,,253.0,,,
4377,K9430,"Esophagostomy complications, unspecified",Y,Y,,,,,,,,,253.0,,,
4378,K9431,Esophagostomy hemorrhage,Y,Y,,,,,,,,,253.0,,,
4379,K9432,Esophagostomy infection,Y,Y,,,,,,,,,253.0,,,
4380,K9433,Esophagostomy malfunction,Y,Y,,,,,,,,,253.0,,,
4381,K9439,Other complications of esophagostomy,Y,Y,,,,,,,,,253.0,,,
4382,L00,Staphylococcal scalded skin syndrome,Y,Y,,,,,,,,,219.0,,,
4383,L100,Pemphigus vulgaris,Y,Y,,,,,,,,,219.0,,,
4384,L101,Pemphigus vegetans,Y,Y,,,,,,,,,219.0,,,
4385,L102,Pemphigus foliaceous,Y,Y,,,,,,,,,219.0,,,
4386,L103,Brazilian pemphigus [fogo selvagem],Y,Y,,,,,,,,,219.0,,,
4387,L104,Pemphigus erythematosus,Y,Y,,,,,,,,,219.0,,,
4388,L105,Drug-induced pemphigus,Y,Y,,,,,,,,,219.0,,,
4389,L1081,Paraneoplastic pemphigus,Y,Y,,,,,,,,,219.0,,,
4390,L1089,Other pemphigus,Y,Y,,,,,,,,,219.0,,,
4391,L109,"Pemphigus, unspecified",Y,Y,,,,,,,,,219.0,,,
4392,L120,Bullous pemphigoid,Y,Y,,,,,,,,,219.0,,,
4393,L121,Cicatricial pemphigoid,Y,Y,,,,,,,,,219.0,,,
4394,L1230,"Acquired epidermolysis bullosa, unspecified",Y,Y,,,,,,,,,219.0,,,
4395,L1231,Epidermolysis bullosa due to drug,Y,Y,,,,,,,,,219.0,,,
4396,L1235,Other acquired epidermolysis bullosa,Y,Y,,,,,,,,,219.0,,,
4397,L128,Other pemphigoid,Y,Y,,,,,,,,,219.0,,,
4398,L129,"Pemphigoid, unspecified",Y,Y,,,,,,,,,219.0,,,
4399,L4050,"Arthropathic psoriasis, unspecified",Y,Y,,,,,,,,,56.0,,,
4400,L4051,Distal interphalangeal psoriatic arthropathy,Y,Y,,,,,,,,,56.0,,,
4401,L4052,Psoriatic arthritis mutilans,Y,Y,,,,,,,,,56.0,,,
4402,L4053,Psoriatic spondylitis,Y,Y,,,,,,,,,56.0,,,
4403,L4054,Psoriatic juvenile arthropathy,Y,Y,,,,,,,,,56.0,,,
4404,L4059,Other psoriatic arthropathy,Y,Y,,,,,,,,,56.0,,,
4405,L491,Exfoliation due to erythematous condition involving 10-19 percent of body surface,Y,Y,,,,,,,,,219.0,,,
4406,L492,Exfoliation due to erythematous condition involving 20-29 percent of body surface,Y,Y,,,,,,,,,219.0,,,
4407,L493,Exfoliation due to erythematous condition involving 30-39 percent of body surface,Y,Y,,,,,,,,,219.0,,,
4408,L494,Exfoliation due to erythematous condition involving 40-49 percent of body surface,Y,Y,,,,,,,,,219.0,,,
4409,L495,Exfoliation due to erythematous condition involving 50-59 percent of body surface,Y,Y,,,,,,,,,219.0,,,
4410,L496,Exfoliation due to erythematous condition involving 60-69 percent of body surface,Y,Y,,,,,,,,,219.0,,,
4411,L497,Exfoliation due to erythematous condition involving 70-79 percent of body surface,Y,Y,,,,,,,,,219.0,,,
4412,L498,Exfoliation due to erythematous condition involving 80-89 percent of body surface,Y,Y,,,,,,,,,219.0,,,
4413,L499,Exfoliation due to erythematous condition involving 90 or more percent of body surface,Y,Y,,,,,,,,,219.0,,,
4414,L511,Stevens-Johnson syndrome,Y,Y,,,,,,,,,219.0,,,
4415,L512,Toxic epidermal necrolysis [Lyell],Y,Y,,,,,,,,,219.0,,,
4416,L513,Stevens-Johnson syndrome-toxic epidermal necrolysis overlap syndrome,Y,Y,,,,,,,,,219.0,,,
4417,L552,Sunburn of third degree,Y,Y,,,,,,,,,219.0,,,
4418,L88,Pyoderma gangrenosum,Y,Y,,,,,,,,,217.0,,,
4419,L97101,Non-pressure chronic ulcer of unspecified thigh limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4420,L97102,Non-pressure chronic ulcer of unspecified thigh with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4421,L97103,Non-pressure chronic ulcer of unspecified thigh with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4422,L97104,Non-pressure chronic ulcer of unspecified thigh with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4423,L97105,Non-pressure chronic ulcer of unspecified thigh with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4424,L97106,Non-pressure chronic ulcer of unspecified thigh with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4425,L97108,Non-pressure chronic ulcer of unspecified thigh with other specified severity,Y,Y,,,,,,,,,217.0,,,
4426,L97109,Non-pressure chronic ulcer of unspecified thigh with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4427,L97111,Non-pressure chronic ulcer of right thigh limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4428,L97112,Non-pressure chronic ulcer of right thigh with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4429,L97113,Non-pressure chronic ulcer of right thigh with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4430,L97114,Non-pressure chronic ulcer of right thigh with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4431,L97115,Non-pressure chronic ulcer of right thigh with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4432,L97116,Non-pressure chronic ulcer of right thigh with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4433,L97118,Non-pressure chronic ulcer of right thigh with other specified severity,Y,Y,,,,,,,,,217.0,,,
4434,L97119,Non-pressure chronic ulcer of right thigh with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4435,L97121,Non-pressure chronic ulcer of left thigh limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4436,L97122,Non-pressure chronic ulcer of left thigh with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4437,L97123,Non-pressure chronic ulcer of left thigh with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4438,L97124,Non-pressure chronic ulcer of left thigh with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4439,L97125,Non-pressure chronic ulcer of left thigh with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4440,L97126,Non-pressure chronic ulcer of left thigh with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4441,L97128,Non-pressure chronic ulcer of left thigh with other specified severity,Y,Y,,,,,,,,,217.0,,,
4442,L97129,Non-pressure chronic ulcer of left thigh with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4443,L97201,Non-pressure chronic ulcer of unspecified calf limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4444,L97202,Non-pressure chronic ulcer of unspecified calf with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4445,L97203,Non-pressure chronic ulcer of unspecified calf with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4446,L97204,Non-pressure chronic ulcer of unspecified calf with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4447,L97205,Non-pressure chronic ulcer of unspecified calf with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4448,L97206,Non-pressure chronic ulcer of unspecified calf with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4449,L97208,Non-pressure chronic ulcer of unspecified calf with other specified severity,Y,Y,,,,,,,,,217.0,,,
4450,L97209,Non-pressure chronic ulcer of unspecified calf with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4451,L97211,Non-pressure chronic ulcer of right calf limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4452,L97212,Non-pressure chronic ulcer of right calf with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4453,L97213,Non-pressure chronic ulcer of right calf with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4454,L97214,Non-pressure chronic ulcer of right calf with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4455,L97215,Non-pressure chronic ulcer of right calf with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4456,L97216,Non-pressure chronic ulcer of right calf with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4457,L97218,Non-pressure chronic ulcer of right calf with other specified severity,Y,Y,,,,,,,,,217.0,,,
4458,L97219,Non-pressure chronic ulcer of right calf with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4459,L97221,Non-pressure chronic ulcer of left calf limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4460,L97222,Non-pressure chronic ulcer of left calf with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4461,L97223,Non-pressure chronic ulcer of left calf with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4462,L97224,Non-pressure chronic ulcer of left calf with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4463,L97225,Non-pressure chronic ulcer of left calf with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4464,L97226,Non-pressure chronic ulcer of left calf with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4465,L97228,Non-pressure chronic ulcer of left calf with other specified severity,Y,Y,,,,,,,,,217.0,,,
4466,L97229,Non-pressure chronic ulcer of left calf with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4467,L97301,Non-pressure chronic ulcer of unspecified ankle limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4468,L97302,Non-pressure chronic ulcer of unspecified ankle with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4469,L97303,Non-pressure chronic ulcer of unspecified ankle with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4470,L97304,Non-pressure chronic ulcer of unspecified ankle with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4471,L97305,Non-pressure chronic ulcer of unspecified ankle with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4472,L97306,Non-pressure chronic ulcer of unspecified ankle with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4473,L97308,Non-pressure chronic ulcer of unspecified ankle with other specified severity,Y,Y,,,,,,,,,217.0,,,
4474,L97309,Non-pressure chronic ulcer of unspecified ankle with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4475,L97311,Non-pressure chronic ulcer of right ankle limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4476,L97312,Non-pressure chronic ulcer of right ankle with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4477,L97313,Non-pressure chronic ulcer of right ankle with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4478,L97314,Non-pressure chronic ulcer of right ankle with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4479,L97315,Non-pressure chronic ulcer of right ankle with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4480,L97316,Non-pressure chronic ulcer of right ankle with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4481,L97318,Non-pressure chronic ulcer of right ankle with other specified severity,Y,Y,,,,,,,,,217.0,,,
4482,L97319,Non-pressure chronic ulcer of right ankle with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4483,L97321,Non-pressure chronic ulcer of left ankle limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4484,L97322,Non-pressure chronic ulcer of left ankle with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4485,L97323,Non-pressure chronic ulcer of left ankle with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4486,L97324,Non-pressure chronic ulcer of left ankle with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4487,L97325,Non-pressure chronic ulcer of left ankle with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4488,L97326,Non-pressure chronic ulcer of left ankle with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4489,L97328,Non-pressure chronic ulcer of left ankle with other specified severity,Y,Y,,,,,,,,,217.0,,,
4490,L97329,Non-pressure chronic ulcer of left ankle with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4491,L97401,Non-pressure chronic ulcer of unspecified heel and midfoot limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4492,L97402,Non-pressure chronic ulcer of unspecified heel and midfoot with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4493,L97403,Non-pressure chronic ulcer of unspecified heel and midfoot with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4494,L97404,Non-pressure chronic ulcer of unspecified heel and midfoot with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4495,L97405,Non-pressure chronic ulcer of unspecified heel and midfoot with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4496,L97406,Non-pressure chronic ulcer of unspecified heel and midfoot with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4497,L97408,Non-pressure chronic ulcer of unspecified heel and midfoot with other specified severity,Y,Y,,,,,,,,,217.0,,,
4498,L97409,Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4499,L97411,Non-pressure chronic ulcer of right heel and midfoot limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4500,L97412,Non-pressure chronic ulcer of right heel and midfoot with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4501,L97413,Non-pressure chronic ulcer of right heel and midfoot with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4502,L97414,Non-pressure chronic ulcer of right heel and midfoot with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4503,L97415,Non-pressure chronic ulcer of right heel and midfoot with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4504,L97416,Non-pressure chronic ulcer of right heel and midfoot with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4505,L97418,Non-pressure chronic ulcer of right heel and midfoot with other specified severity,Y,Y,,,,,,,,,217.0,,,
4506,L97419,Non-pressure chronic ulcer of right heel and midfoot with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4507,L97421,Non-pressure chronic ulcer of left heel and midfoot limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4508,L97422,Non-pressure chronic ulcer of left heel and midfoot with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4509,L97423,Non-pressure chronic ulcer of left heel and midfoot with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4510,L97424,Non-pressure chronic ulcer of left heel and midfoot with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4511,L97425,Non-pressure chronic ulcer of left heel and midfoot with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4512,L97426,Non-pressure chronic ulcer of left heel and midfoot with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4513,L97428,Non-pressure chronic ulcer of left heel and midfoot with other specified severity,Y,Y,,,,,,,,,217.0,,,
4514,L97429,Non-pressure chronic ulcer of left heel and midfoot with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4515,L97501,Non-pressure chronic ulcer of other part of unspecified foot limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4516,L97502,Non-pressure chronic ulcer of other part of unspecified foot with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4517,L97503,Non-pressure chronic ulcer of other part of unspecified foot with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4518,L97504,Non-pressure chronic ulcer of other part of unspecified foot with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4519,L97505,Non-pressure chronic ulcer of other part of unspecified foot with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4520,L97506,Non-pressure chronic ulcer of other part of unspecified foot with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4521,L97508,Non-pressure chronic ulcer of other part of unspecified foot with other specified severity,Y,Y,,,,,,,,,217.0,,,
4522,L97509,Non-pressure chronic ulcer of other part of unspecified foot with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4523,L97511,Non-pressure chronic ulcer of other part of right foot limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4524,L97512,Non-pressure chronic ulcer of other part of right foot with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4525,L97513,Non-pressure chronic ulcer of other part of right foot with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4526,L97514,Non-pressure chronic ulcer of other part of right foot with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4527,L97515,Non-pressure chronic ulcer of other part of right foot with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4528,L97516,Non-pressure chronic ulcer of other part of right foot with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4529,L97518,Non-pressure chronic ulcer of other part of right foot with other specified severity,Y,Y,,,,,,,,,217.0,,,
4530,L97519,Non-pressure chronic ulcer of other part of right foot with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4531,L97521,Non-pressure chronic ulcer of other part of left foot limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4532,L97522,Non-pressure chronic ulcer of other part of left foot with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4533,L97523,Non-pressure chronic ulcer of other part of left foot with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4534,L97524,Non-pressure chronic ulcer of other part of left foot with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4535,L97525,Non-pressure chronic ulcer of other part of left foot with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4536,L97526,Non-pressure chronic ulcer of other part of left foot with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4537,L97528,Non-pressure chronic ulcer of other part of left foot with other specified severity,Y,Y,,,,,,,,,217.0,,,
4538,L97529,Non-pressure chronic ulcer of other part of left foot with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4539,L97801,Non-pressure chronic ulcer of other part of unspecified lower leg limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4540,L97802,Non-pressure chronic ulcer of other part of unspecified lower leg with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4541,L97803,Non-pressure chronic ulcer of other part of unspecified lower leg with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4542,L97804,Non-pressure chronic ulcer of other part of unspecified lower leg with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4543,L97805,Non-pressure chronic ulcer of other part of unspecified lower leg with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4544,L97806,Non-pressure chronic ulcer of other part of unspecified lower leg with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4545,L97808,Non-pressure chronic ulcer of other part of unspecified lower leg with other specified severity,Y,Y,,,,,,,,,217.0,,,
4546,L97809,Non-pressure chronic ulcer of other part of unspecified lower leg with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4547,L97811,Non-pressure chronic ulcer of other part of right lower leg limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4548,L97812,Non-pressure chronic ulcer of other part of right lower leg with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4549,L97813,Non-pressure chronic ulcer of other part of right lower leg with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4550,L97814,Non-pressure chronic ulcer of other part of right lower leg with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4551,L97815,Non-pressure chronic ulcer of other part of right lower leg with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4552,L97816,Non-pressure chronic ulcer of other part of right lower leg with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4553,L97818,Non-pressure chronic ulcer of other part of right lower leg with other specified severity,Y,Y,,,,,,,,,217.0,,,
4554,L97819,Non-pressure chronic ulcer of other part of right lower leg with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4555,L97821,Non-pressure chronic ulcer of other part of left lower leg limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4556,L97822,Non-pressure chronic ulcer of other part of left lower leg with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4557,L97823,Non-pressure chronic ulcer of other part of left lower leg with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4558,L97824,Non-pressure chronic ulcer of other part of left lower leg with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4559,L97825,Non-pressure chronic ulcer of other part of left lower leg with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4560,L97826,Non-pressure chronic ulcer of other part of left lower leg with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4561,L97828,Non-pressure chronic ulcer of other part of left lower leg with other specified severity,Y,Y,,,,,,,,,217.0,,,
4562,L97829,Non-pressure chronic ulcer of other part of left lower leg with unspecified severity,Y,Y,,,,,,,,,217.0,,,
4563,L97901,Non-pressure chronic ulcer of unspecified part of unspecified lower leg limited to breakdown of skin,Y,Y,,,,,,,,,217.0,,,
4564,L97902,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with fat layer exposed,Y,Y,,,,,,,,,217.0,,,
4565,L97903,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of muscle,Y,Y,,,,,,,,,217.0,,,
4566,L97904,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of bone,Y,Y,,,,,,,,,217.0,,,
4567,L97905,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with muscle involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4568,L97906,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with bone involvement without evidence of necrosis,Y,Y,,,,,,,,,217.0,,,
4569,L97908,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with other specified severity,Y,Y,,,,,,,,,217.0,,,
4570,L97909,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with unspecified severity,Y,Y,,,,,,,,,217.0,,,
