obs,icd10,icd10_label,valid_fy,valid_fy,mce_age_condition,mce_sex_condition,cc_age_split,cc_sex_split,cc,second_cc,third_cc,footnote
821,C7651,Malignant neoplasm of right lower limb,Y,Y,,,,,12.0,,,
822,C7652,Malignant neoplasm of left lower limb,Y,Y,,,,,12.0,,,
823,C768,Malignant neoplasm of other specified ill-defined sites,Y,Y,,,,,12.0,,,
824,C770,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",Y,Y,,,,,8.0,,,
825,C771,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,Y,Y,,,,,8.0,,,
826,C772,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,Y,Y,,,,,8.0,,,
827,C773,Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes,Y,Y,,,,,8.0,,,
828,C774,Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes,Y,Y,,,,,8.0,,,
829,C775,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,Y,Y,,,,,8.0,,,
830,C778,Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions,Y,Y,,,,,8.0,,,
831,C779,"Secondary and unspecified malignant neoplasm of lymph node, unspecified",Y,Y,,,,,8.0,,,
832,C7800,Secondary malignant neoplasm of unspecified lung,Y,Y,,,,,8.0,,,
833,C7801,Secondary malignant neoplasm of right lung,Y,Y,,,,,8.0,,,
834,C7802,Secondary malignant neoplasm of left lung,Y,Y,,,,,8.0,,,
835,C781,Secondary malignant neoplasm of mediastinum,Y,Y,,,,,8.0,,,
836,C782,Secondary malignant neoplasm of pleura,Y,Y,,,,,8.0,,,
837,C7830,Secondary malignant neoplasm of unspecified respiratory organ,Y,Y,,,,,8.0,,,
838,C7839,Secondary malignant neoplasm of other respiratory organs,Y,Y,,,,,8.0,,,
839,C784,Secondary malignant neoplasm of small intestine,Y,Y,,,,,8.0,,,
840,C785,Secondary malignant neoplasm of large intestine and rectum,Y,Y,,,,,8.0,,,
841,C786,Secondary malignant neoplasm of retroperitoneum and peritoneum,Y,Y,,,,,8.0,,,
842,C787,Secondary malignant neoplasm of liver and intrahepatic bile duct,Y,Y,,,,,8.0,,,
843,C7880,Secondary malignant neoplasm of unspecified digestive organ,Y,Y,,,,,8.0,,,
844,C7889,Secondary malignant neoplasm of other digestive organs,Y,Y,,,,,8.0,,,
845,C7900,Secondary malignant neoplasm of unspecified kidney and renal pelvis,Y,Y,,,,,8.0,,,
846,C7901,Secondary malignant neoplasm of right kidney and renal pelvis,Y,Y,,,,,8.0,,,
847,C7902,Secondary malignant neoplasm of left kidney and renal pelvis,Y,Y,,,,,8.0,,,
848,C7910,Secondary malignant neoplasm of unspecified urinary organs,Y,Y,,,,,8.0,,,
849,C7911,Secondary malignant neoplasm of bladder,Y,Y,,,,,8.0,,,
850,C7919,Secondary malignant neoplasm of other urinary organs,Y,Y,,,,,8.0,,,
851,C792,Secondary malignant neoplasm of skin,Y,Y,,,,,8.0,,,
852,C7931,Secondary malignant neoplasm of brain,Y,Y,,,,,8.0,,,
853,C7932,Secondary malignant neoplasm of cerebral meninges,Y,Y,,,,,8.0,,,
854,C7940,Secondary malignant neoplasm of unspecified part of nervous system,Y,Y,,,,,8.0,,,
855,C7949,Secondary malignant neoplasm of other parts of nervous system,Y,Y,,,,,8.0,,,
856,C7951,Secondary malignant neoplasm of bone,Y,Y,,,,,8.0,,,
857,C7952,Secondary malignant neoplasm of bone marrow,Y,Y,,,,,8.0,,,
858,C7960,Secondary malignant neoplasm of unspecified ovary,Y,Y,,,,,8.0,,,4
859,C7961,Secondary malignant neoplasm of right ovary,Y,Y,,,,,8.0,,,4
860,C7962,Secondary malignant neoplasm of left ovary,Y,Y,,,,,8.0,,,4
861,C7963,Secondary malignant neoplasm of bilateral ovaries,Y,Y,,,,,8.0,,,4
862,C7970,Secondary malignant neoplasm of unspecified adrenal gland,Y,Y,,,,,8.0,,,
863,C7971,Secondary malignant neoplasm of right adrenal gland,Y,Y,,,,,8.0,,,
864,C7972,Secondary malignant neoplasm of left adrenal gland,Y,Y,,,,,8.0,,,
865,C7981,Secondary malignant neoplasm of breast,Y,Y,,,,,8.0,,,
866,C7982,Secondary malignant neoplasm of genital organs,Y,Y,,,,,8.0,,,
867,C7989,Secondary malignant neoplasm of other specified sites,Y,Y,,,,,8.0,,,
868,C799,Secondary malignant neoplasm of unspecified site,Y,Y,,,,,8.0,,,
869,C7A00,Malignant carcinoid tumor of unspecified site,Y,Y,,,,,12.0,,,
870,C7A010,Malignant carcinoid tumor of the duodenum,Y,Y,,,,,12.0,,,
871,C7A011,Malignant carcinoid tumor of the jejunum,Y,Y,,,,,12.0,,,
872,C7A012,Malignant carcinoid tumor of the ileum,Y,Y,,,,,12.0,,,
873,C7A019,"Malignant carcinoid tumor of the small intestine, unspecified portion",Y,Y,,,,,12.0,,,
874,C7A020,Malignant carcinoid tumor of the appendix,Y,Y,,,,,12.0,,,
875,C7A021,Malignant carcinoid tumor of the cecum,Y,Y,,,,,12.0,,,
876,C7A022,Malignant carcinoid tumor of the ascending colon,Y,Y,,,,,12.0,,,
877,C7A023,Malignant carcinoid tumor of the transverse colon,Y,Y,,,,,12.0,,,
878,C7A024,Malignant carcinoid tumor of the descending colon,Y,Y,,,,,12.0,,,
879,C7A025,Malignant carcinoid tumor of the sigmoid colon,Y,Y,,,,,12.0,,,
880,C7A026,Malignant carcinoid tumor of the rectum,Y,Y,,,,,12.0,,,
881,C7A029,"Malignant carcinoid tumor of the large intestine, unspecified portion",Y,Y,,,,,12.0,,,
882,C7A090,Malignant carcinoid tumor of the bronchus and lung,Y,Y,,,,,12.0,,,
883,C7A091,Malignant carcinoid tumor of the thymus,Y,Y,,,,,12.0,,,
884,C7A092,Malignant carcinoid tumor of the stomach,Y,Y,,,,,12.0,,,
885,C7A093,Malignant carcinoid tumor of the kidney,Y,Y,,,,,12.0,,,
886,C7A094,"Malignant carcinoid tumor of the foregut, unspecified",Y,Y,,,,,12.0,,,
887,C7A095,"Malignant carcinoid tumor of the midgut, unspecified",Y,Y,,,,,12.0,,,
888,C7A096,"Malignant carcinoid tumor of the hindgut, unspecified",Y,Y,,,,,12.0,,,
889,C7A098,Malignant carcinoid tumors of other sites,Y,Y,,,,,12.0,,,
890,C7A1,Malignant poorly differentiated neuroendocrine tumors,Y,Y,,,,,12.0,,,
891,C7A8,Other malignant neuroendocrine tumors,Y,Y,,,,,12.0,,,
892,C7B00,"Secondary carcinoid tumors, unspecified site",Y,Y,,,,,8.0,,,
893,C7B01,Secondary carcinoid tumors of distant lymph nodes,Y,Y,,,,,8.0,,,
894,C7B02,Secondary carcinoid tumors of liver,Y,Y,,,,,8.0,,,
895,C7B03,Secondary carcinoid tumors of bone,Y,Y,,,,,8.0,,,
896,C7B04,Secondary carcinoid tumors of peritoneum,Y,Y,,,,,8.0,,,
897,C7B09,Secondary carcinoid tumors of other sites,Y,Y,,,,,8.0,,,
898,C7B1,Secondary Merkel cell carcinoma,Y,Y,,,,,8.0,,,
899,C7B8,Other secondary neuroendocrine tumors,Y,Y,,,,,8.0,,,
900,C800,"Disseminated malignant neoplasm, unspecified",Y,Y,,,,,8.0,,,
901,C801,"Malignant (primary) neoplasm, unspecified",Y,Y,,,,,13.0,,,
902,C802,Malignant neoplasm associated with transplanted organ,Y,Y,,,,,12.0,,,
903,C8100,"Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site",Y,Y,,,,,12.0,,,
904,C8101,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck",Y,Y,,,,,12.0,,,
905,C8102,"Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes",Y,Y,,,,,12.0,,,
906,C8103,"Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes",Y,Y,,,,,12.0,,,
907,C8104,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb",Y,Y,,,,,12.0,,,
908,C8105,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",Y,Y,,,,,12.0,,,
909,C8106,"Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes",Y,Y,,,,,12.0,,,
910,C8107,"Nodular lymphocyte predominant Hodgkin lymphoma, spleen",Y,Y,,,,,12.0,,,
911,C8108,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites",Y,Y,,,,,12.0,,,
912,C8109,"Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites",Y,Y,,,,,12.0,,,
913,C810A,"Nodular lymphocyte predominant Hodgkin lymphoma, in remission",N,Y,,,,,12.0,,,
914,C8110,"Nodular sclerosis Hodgkin lymphoma, unspecified site",Y,Y,,,,,12.0,,,
915,C8111,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck",Y,Y,,,,,12.0,,,
916,C8112,"Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes",Y,Y,,,,,12.0,,,
917,C8113,"Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes",Y,Y,,,,,12.0,,,
918,C8114,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb",Y,Y,,,,,12.0,,,
919,C8115,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",Y,Y,,,,,12.0,,,
920,C8116,"Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes",Y,Y,,,,,12.0,,,
921,C8117,"Nodular sclerosis Hodgkin lymphoma, spleen",Y,Y,,,,,12.0,,,
922,C8118,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites",Y,Y,,,,,12.0,,,
923,C8119,"Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites",Y,Y,,,,,12.0,,,
924,C811A,"Nodular sclerosis Hodgkin lymphoma, in remission",N,Y,,,,,12.0,,,
925,C8120,"Mixed cellularity Hodgkin lymphoma, unspecified site",Y,Y,,,,,12.0,,,
926,C8121,"Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck",Y,Y,,,,,12.0,,,
927,C8122,"Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes",Y,Y,,,,,12.0,,,
928,C8123,"Mixed cellularity Hodgkin lymphoma, intra-abdominal lymph nodes",Y,Y,,,,,12.0,,,
929,C8124,"Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb",Y,Y,,,,,12.0,,,
930,C8125,"Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",Y,Y,,,,,12.0,,,
931,C8126,"Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes",Y,Y,,,,,12.0,,,
932,C8127,"Mixed cellularity Hodgkin lymphoma, spleen",Y,Y,,,,,12.0,,,
933,C8128,"Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites",Y,Y,,,,,12.0,,,
934,C8129,"Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites",Y,Y,,,,,12.0,,,
935,C812A,"Mixed cellularity Hodgkin lymphoma, in remission",N,Y,,,,,12.0,,,
936,C8130,"Lymphocyte depleted Hodgkin lymphoma, unspecified site",Y,Y,,,,,12.0,,,
937,C8131,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck",Y,Y,,,,,12.0,,,
938,C8132,"Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes",Y,Y,,,,,12.0,,,
939,C8133,"Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes",Y,Y,,,,,12.0,,,
940,C8134,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb",Y,Y,,,,,12.0,,,
941,C8135,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",Y,Y,,,,,12.0,,,
942,C8136,"Lymphocyte depleted Hodgkin lymphoma, intrapelvic lymph nodes",Y,Y,,,,,12.0,,,
943,C8137,"Lymphocyte depleted Hodgkin lymphoma, spleen",Y,Y,,,,,12.0,,,
944,C8138,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites",Y,Y,,,,,12.0,,,
945,C8139,"Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites",Y,Y,,,,,12.0,,,
946,C813A,"Lymphocyte depleted Hodgkin lymphoma, in remission",N,Y,,,,,12.0,,,
947,C8140,"Lymphocyte-rich Hodgkin lymphoma, unspecified site",Y,Y,,,,,12.0,,,
948,C8141,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck",Y,Y,,,,,12.0,,,
949,C8142,"Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes",Y,Y,,,,,12.0,,,
950,C8143,"Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes",Y,Y,,,,,12.0,,,
951,C8144,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb",Y,Y,,,,,12.0,,,
952,C8145,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",Y,Y,,,,,12.0,,,
953,C8146,"Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes",Y,Y,,,,,12.0,,,
954,C8147,"Lymphocyte-rich Hodgkin lymphoma, spleen",Y,Y,,,,,12.0,,,
955,C8148,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of multiple sites",Y,Y,,,,,12.0,,,
956,C8149,"Lymphocyte-rich Hodgkin lymphoma, extranodal and solid organ sites",Y,Y,,,,,12.0,,,
957,C814A,"Lymphocyte-rich Hodgkin lymphoma, in remission",N,Y,,,,,12.0,,,
958,C8170,"Other Hodgkin lymphoma, unspecified site",Y,Y,,,,,12.0,,,
959,C8171,"Other Hodgkin lymphoma, lymph nodes of head, face, and neck",Y,Y,,,,,12.0,,,
960,C8172,"Other Hodgkin lymphoma, intrathoracic lymph nodes",Y,Y,,,,,12.0,,,
961,C8173,"Other Hodgkin lymphoma, intra-abdominal lymph nodes",Y,Y,,,,,12.0,,,
962,C8174,"Other Hodgkin lymphoma, lymph nodes of axilla and upper limb",Y,Y,,,,,12.0,,,
963,C8175,"Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",Y,Y,,,,,12.0,,,
964,C8176,"Other Hodgkin lymphoma, intrapelvic lymph nodes",Y,Y,,,,,12.0,,,
965,C8177,"Other Hodgkin lymphoma, spleen",Y,Y,,,,,12.0,,,
966,C8178,"Other Hodgkin lymphoma, lymph nodes of multiple sites",Y,Y,,,,,12.0,,,
967,C8179,"Other Hodgkin lymphoma, extranodal and solid organ sites",Y,Y,,,,,12.0,,,
968,C817A,"Other Hodgkin lymphoma, in remission",N,Y,,,,,12.0,,,
969,C8190,"Hodgkin lymphoma, unspecified, unspecified site",Y,Y,,,,,12.0,,,
970,C8191,"Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",Y,Y,,,,,12.0,,,
971,C8192,"Hodgkin lymphoma, unspecified, intrathoracic lymph nodes",Y,Y,,,,,12.0,,,
972,C8193,"Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",Y,Y,,,,,12.0,,,
973,C8194,"Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb",Y,Y,,,,,12.0,,,
974,C8195,"Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",Y,Y,,,,,12.0,,,
975,C8196,"Hodgkin lymphoma, unspecified, intrapelvic lymph nodes",Y,Y,,,,,12.0,,,
976,C8197,"Hodgkin lymphoma, unspecified, spleen",Y,Y,,,,,12.0,,,
977,C8198,"Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",Y,Y,,,,,12.0,,,
978,C8199,"Hodgkin lymphoma, unspecified, extranodal and solid organ sites",Y,Y,,,,,12.0,,,
979,C819A,"Hodgkin lymphoma, unspecified, in remission",N,Y,,,,,12.0,,,
980,C8200,"Follicular lymphoma grade I, unspecified site",Y,Y,,,,,10.0,,,
981,C8201,"Follicular lymphoma grade I, lymph nodes of head, face, and neck",Y,Y,,,,,10.0,,,
982,C8202,"Follicular lymphoma grade I, intrathoracic lymph nodes",Y,Y,,,,,10.0,,,
983,C8203,"Follicular lymphoma grade I, intra-abdominal lymph nodes",Y,Y,,,,,10.0,,,
984,C8204,"Follicular lymphoma grade I, lymph nodes of axilla and upper limb",Y,Y,,,,,10.0,,,
985,C8205,"Follicular lymphoma grade I, lymph nodes of inguinal region and lower limb",Y,Y,,,,,10.0,,,
986,C8206,"Follicular lymphoma grade I, intrapelvic lymph nodes",Y,Y,,,,,10.0,,,
987,C8207,"Follicular lymphoma grade I, spleen",Y,Y,,,,,10.0,,,
988,C8208,"Follicular lymphoma grade I, lymph nodes of multiple sites",Y,Y,,,,,10.0,,,
989,C8209,"Follicular lymphoma grade I, extranodal and solid organ sites",Y,Y,,,,,10.0,,,
990,C820A,"Follicular lymphoma grade I, in remission",N,Y,,,,,10.0,,,
991,C8210,"Follicular lymphoma grade II, unspecified site",Y,Y,,,,,10.0,,,
992,C8211,"Follicular lymphoma grade II, lymph nodes of head, face, and neck",Y,Y,,,,,10.0,,,
993,C8212,"Follicular lymphoma grade II, intrathoracic lymph nodes",Y,Y,,,,,10.0,,,
994,C8213,"Follicular lymphoma grade II, intra-abdominal lymph nodes",Y,Y,,,,,10.0,,,
995,C8214,"Follicular lymphoma grade II, lymph nodes of axilla and upper limb",Y,Y,,,,,10.0,,,
996,C8215,"Follicular lymphoma grade II, lymph nodes of inguinal region and lower limb",Y,Y,,,,,10.0,,,
997,C8216,"Follicular lymphoma grade II, intrapelvic lymph nodes",Y,Y,,,,,10.0,,,
998,C8217,"Follicular lymphoma grade II, spleen",Y,Y,,,,,10.0,,,
999,C8218,"Follicular lymphoma grade II, lymph nodes of multiple sites",Y,Y,,,,,10.0,,,
1000,C8219,"Follicular lymphoma grade II, extranodal and solid organ sites",Y,Y,,,,,10.0,,,
1001,C821A,"Follicular lymphoma grade II, in remission",N,Y,,,,,10.0,,,
1002,C8220,"Follicular lymphoma grade III, unspecified, unspecified site",Y,Y,,,,,10.0,,,
1003,C8221,"Follicular lymphoma grade III, unspecified, lymph nodes of head, face, and neck",Y,Y,,,,,10.0,,,
1004,C8222,"Follicular lymphoma grade III, unspecified, intrathoracic lymph nodes",Y,Y,,,,,10.0,,,
1005,C8223,"Follicular lymphoma grade III, unspecified, intra-abdominal lymph nodes",Y,Y,,,,,10.0,,,
1006,C8224,"Follicular lymphoma grade III, unspecified, lymph nodes of axilla and upper limb",Y,Y,,,,,10.0,,,
1007,C8225,"Follicular lymphoma grade III, unspecified, lymph nodes of inguinal region and lower limb",Y,Y,,,,,10.0,,,
1008,C8226,"Follicular lymphoma grade III, unspecified, intrapelvic lymph nodes",Y,Y,,,,,10.0,,,
1009,C8227,"Follicular lymphoma grade III, unspecified, spleen",Y,Y,,,,,10.0,,,
1010,C8228,"Follicular lymphoma grade III, unspecified, lymph nodes of multiple sites",Y,Y,,,,,10.0,,,
1011,C8229,"Follicular lymphoma grade III, unspecified, extranodal and solid organ sites",Y,Y,,,,,10.0,,,
1012,C822A,"Follicular lymphoma grade III, unspecified, in remission",N,Y,,,,,10.0,,,
1013,C8230,"Follicular lymphoma grade IIIa, unspecified site",Y,Y,,,,,10.0,,,
1014,C8231,"Follicular lymphoma grade IIIa, lymph nodes of head, face, and neck",Y,Y,,,,,10.0,,,
1015,C8232,"Follicular lymphoma grade IIIa, intrathoracic lymph nodes",Y,Y,,,,,10.0,,,
1016,C8233,"Follicular lymphoma grade IIIa, intra-abdominal lymph nodes",Y,Y,,,,,10.0,,,
1017,C8234,"Follicular lymphoma grade IIIa, lymph nodes of axilla and upper limb",Y,Y,,,,,10.0,,,
1018,C8235,"Follicular lymphoma grade IIIa, lymph nodes of inguinal region and lower limb",Y,Y,,,,,10.0,,,
1019,C8236,"Follicular lymphoma grade IIIa, intrapelvic lymph nodes",Y,Y,,,,,10.0,,,
1020,C8237,"Follicular lymphoma grade IIIa, spleen",Y,Y,,,,,10.0,,,
1021,C8238,"Follicular lymphoma grade IIIa, lymph nodes of multiple sites",Y,Y,,,,,10.0,,,
1022,C8239,"Follicular lymphoma grade IIIa, extranodal and solid organ sites",Y,Y,,,,,10.0,,,
1023,C823A,"Follicular lymphoma grade IIIa, in remission",N,Y,,,,,10.0,,,
1024,C8240,"Follicular lymphoma grade IIIb, unspecified site",Y,Y,,,,,10.0,,,
1025,C8241,"Follicular lymphoma grade IIIb, lymph nodes of head, face, and neck",Y,Y,,,,,10.0,,,
1026,C8242,"Follicular lymphoma grade IIIb, intrathoracic lymph nodes",Y,Y,,,,,10.0,,,
1027,C8243,"Follicular lymphoma grade IIIb, intra-abdominal lymph nodes",Y,Y,,,,,10.0,,,
1028,C8244,"Follicular lymphoma grade IIIb, lymph nodes of axilla and upper limb",Y,Y,,,,,10.0,,,
1029,C8245,"Follicular lymphoma grade IIIb, lymph nodes of inguinal region and lower limb",Y,Y,,,,,10.0,,,
1030,C8246,"Follicular lymphoma grade IIIb, intrapelvic lymph nodes",Y,Y,,,,,10.0,,,
1031,C8247,"Follicular lymphoma grade IIIb, spleen",Y,Y,,,,,10.0,,,
1032,C8248,"Follicular lymphoma grade IIIb, lymph nodes of multiple sites",Y,Y,,,,,10.0,,,
1033,C8249,"Follicular lymphoma grade IIIb, extranodal and solid organ sites",Y,Y,,,,,10.0,,,
1034,C824A,"Follicular lymphoma grade IIIb, in remission",N,Y,,,,,10.0,,,
1035,C8250,"Diffuse follicle center lymphoma, unspecified site",Y,Y,,,,,10.0,,,
1036,C8251,"Diffuse follicle center lymphoma, lymph nodes of head, face, and neck",Y,Y,,,,,10.0,,,
1037,C8252,"Diffuse follicle center lymphoma, intrathoracic lymph nodes",Y,Y,,,,,10.0,,,
1038,C8253,"Diffuse follicle center lymphoma, intra-abdominal lymph nodes",Y,Y,,,,,10.0,,,
1039,C8254,"Diffuse follicle center lymphoma, lymph nodes of axilla and upper limb",Y,Y,,,,,10.0,,,
1040,C8255,"Diffuse follicle center lymphoma, lymph nodes of inguinal region and lower limb",Y,Y,,,,,10.0,,,
1041,C8256,"Diffuse follicle center lymphoma, intrapelvic lymph nodes",Y,Y,,,,,10.0,,,
1042,C8257,"Diffuse follicle center lymphoma, spleen",Y,Y,,,,,10.0,,,
1043,C8258,"Diffuse follicle center lymphoma, lymph nodes of multiple sites",Y,Y,,,,,10.0,,,
1044,C8259,"Diffuse follicle center lymphoma, extranodal and solid organ sites",Y,Y,,,,,10.0,,,
1045,C825A,"Diffuse follicle center lymphoma, in remission",N,Y,,,,,10.0,,,
1046,C8260,"Cutaneous follicle center lymphoma, unspecified site",Y,Y,,,,,10.0,,,
1047,C8261,"Cutaneous follicle center lymphoma, lymph nodes of head, face, and neck",Y,Y,,,,,10.0,,,
1048,C8262,"Cutaneous follicle center lymphoma, intrathoracic lymph nodes",Y,Y,,,,,10.0,,,
1049,C8263,"Cutaneous follicle center lymphoma, intra-abdominal lymph nodes",Y,Y,,,,,10.0,,,
1050,C8264,"Cutaneous follicle center lymphoma, lymph nodes of axilla and upper limb",Y,Y,,,,,10.0,,,
1051,C8265,"Cutaneous follicle center lymphoma, lymph nodes of inguinal region and lower limb",Y,Y,,,,,10.0,,,
1052,C8266,"Cutaneous follicle center lymphoma, intrapelvic lymph nodes",Y,Y,,,,,10.0,,,
1053,C8267,"Cutaneous follicle center lymphoma, spleen",Y,Y,,,,,10.0,,,
1054,C8268,"Cutaneous follicle center lymphoma, lymph nodes of multiple sites",Y,Y,,,,,10.0,,,
1055,C8269,"Cutaneous follicle center lymphoma, extranodal and solid organ sites",Y,Y,,,,,10.0,,,
1056,C826A,"Cutaneous follicle center lymphoma, in remission",N,Y,,,,,10.0,,,
1057,C8280,"Other types of follicular lymphoma, unspecified site",Y,Y,,,,,10.0,,,
1058,C8281,"Other types of follicular lymphoma, lymph nodes of head, face, and neck",Y,Y,,,,,10.0,,,
1059,C8282,"Other types of follicular lymphoma, intrathoracic lymph nodes",Y,Y,,,,,10.0,,,
1060,C8283,"Other types of follicular lymphoma, intra-abdominal lymph nodes",Y,Y,,,,,10.0,,,
1061,C8284,"Other types of follicular lymphoma, lymph nodes of axilla and upper limb",Y,Y,,,,,10.0,,,
1062,C8285,"Other types of follicular lymphoma, lymph nodes of inguinal region and lower limb",Y,Y,,,,,10.0,,,
1063,C8286,"Other types of follicular lymphoma, intrapelvic lymph nodes",Y,Y,,,,,10.0,,,
1064,C8287,"Other types of follicular lymphoma, spleen",Y,Y,,,,,10.0,,,
1065,C8288,"Other types of follicular lymphoma, lymph nodes of multiple sites",Y,Y,,,,,10.0,,,
1066,C8289,"Other types of follicular lymphoma, extranodal and solid organ sites",Y,Y,,,,,10.0,,,
1067,C828A,"Other types of follicular lymphoma, in remission",N,Y,,,,,10.0,,,
1068,C8290,"Follicular lymphoma, unspecified, unspecified site",Y,Y,,,,,10.0,,,
1069,C8291,"Follicular lymphoma, unspecified, lymph nodes of head, face, and neck",Y,Y,,,,,10.0,,,
1070,C8292,"Follicular lymphoma, unspecified, intrathoracic lymph nodes",Y,Y,,,,,10.0,,,
1071,C8293,"Follicular lymphoma, unspecified, intra-abdominal lymph nodes",Y,Y,,,,,10.0,,,
1072,C8294,"Follicular lymphoma, unspecified, lymph nodes of axilla and upper limb",Y,Y,,,,,10.0,,,
1073,C8295,"Follicular lymphoma, unspecified, lymph nodes of inguinal region and lower limb",Y,Y,,,,,10.0,,,
1074,C8296,"Follicular lymphoma, unspecified, intrapelvic lymph nodes",Y,Y,,,,,10.0,,,
1075,C8297,"Follicular lymphoma, unspecified, spleen",Y,Y,,,,,10.0,,,
1076,C8298,"Follicular lymphoma, unspecified, lymph nodes of multiple sites",Y,Y,,,,,10.0,,,
1077,C8299,"Follicular lymphoma, unspecified, extranodal and solid organ sites",Y,Y,,,,,10.0,,,
1078,C829A,"Follicular lymphoma, unspecified, in remission",N,Y,,,,,10.0,,,
1079,C8300,"Small cell B-cell lymphoma, unspecified site",Y,Y,,,,,10.0,,,
1080,C8301,"Small cell B-cell lymphoma, lymph nodes of head, face, and neck",Y,Y,,,,,10.0,,,
1081,C8302,"Small cell B-cell lymphoma, intrathoracic lymph nodes",Y,Y,,,,,10.0,,,
1082,C8303,"Small cell B-cell lymphoma, intra-abdominal lymph nodes",Y,Y,,,,,10.0,,,
1083,C8304,"Small cell B-cell lymphoma, lymph nodes of axilla and upper limb",Y,Y,,,,,10.0,,,
1084,C8305,"Small cell B-cell lymphoma, lymph nodes of inguinal region and lower limb",Y,Y,,,,,10.0,,,
1085,C8306,"Small cell B-cell lymphoma, intrapelvic lymph nodes",Y,Y,,,,,10.0,,,
1086,C8307,"Small cell B-cell lymphoma, spleen",Y,Y,,,,,10.0,,,
1087,C8308,"Small cell B-cell lymphoma, lymph nodes of multiple sites",Y,Y,,,,,10.0,,,
1088,C8309,"Small cell B-cell lymphoma, extranodal and solid organ sites",Y,Y,,,,,10.0,,,
1089,C830A,"Small cell B-cell lymphoma, in remission",N,Y,,,,,10.0,,,
1090,C8310,"Mantle cell lymphoma, unspecified site",Y,Y,,,,,10.0,,,
1091,C8311,"Mantle cell lymphoma, lymph nodes of head, face, and neck",Y,Y,,,,,10.0,,,
1092,C8312,"Mantle cell lymphoma, intrathoracic lymph nodes",Y,Y,,,,,10.0,,,
1093,C8313,"Mantle cell lymphoma, intra-abdominal lymph nodes",Y,Y,,,,,10.0,,,
1094,C8314,"Mantle cell lymphoma, lymph nodes of axilla and upper limb",Y,Y,,,,,10.0,,,
1095,C8315,"Mantle cell lymphoma, lymph nodes of inguinal region and lower limb",Y,Y,,,,,10.0,,,
1096,C8316,"Mantle cell lymphoma, intrapelvic lymph nodes",Y,Y,,,,,10.0,,,
